============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R633 c4 b6710 m67078.5 rS
R634 c4 b6380 m63723.5 rH
R635 c7 b6314 m57343.5 rB
R636 c8 b6132 m51029.5 rB
R637 c9 b5388 m44897.5 rU
R638 c10 b6684 m55673.5 rU
R639 c8 b6864 m62357.5 rS
R640 c7 b6490 m58925.5 rJ
R641 c7 b7557 m68660.5 rL
R642 c3 b5508 m61103.5 rL
R643 c2 b4509 m50087.5 rD
R644 c4 b5010 m50087.5 rU
R645 c5 b5510 m55097.5 rU
R646 c5 b6070 m60607.5 rH
R647 c4 b5460 m54537.5 rS
R648 c6 b5709 m51807.5 rW
R649 c8 b6912 m57516.5 rL
R650 c10 b6084 m50604.5 rJ
R651 c9 b7176 m59730.5 rW
R652 c9 b8040 m66906.5 rD
R653 c7 b7370 m66906.5 rB
R654 c5 b5960 m59536.5 rW
R655 c5 b6550 m65496.5 rW
R656 c4 b7210 m72046.5 rD
R657 c3 b6489 m72046.5 rJ
R658 c1 b6544 m81780.5 rU
R659 c3 b8541 m94868.5 rL
R660 c4 b8640 m86327.5 rB
R661 c5 b7770 m77687.5 rW
R662 c5 b8550 m85457.5 rS
R663 c4 b8120 m81182.5 rL
R664 c5 b6500 m64942.5 rW
R665 c3 b7020 m77942.5 rB
R666 c4 b7100 m70922.5 rL
R667 c5 b6390 m63822.5 rS
R668 c4 b6070 m60627.5 rS
R669 c5 b5760 m57592.5 rS
R670 c4 b5480 m54712.5 rB
R671 c3 b4437 m49232.5 rU
R672 c4 b5370 m53669.5 rW
R673 c0 b4137 m59039.5 rL
R674 c0 b3300 m54902.5 rD
R675 c0 b3850 m54902.5 rL
R676 c0 b3577 m51052.5 rL
R677 c-1 b2375 m47475.5 rU
R678 c-3 b1996 m49850.5 rL
R679 c-2 b2395 m47854.5 rW
R680 c-4 b1509 m50249.5 rU
R681 c-3 b2132 m53267.5 rD
R682 c-1 b2665 m53267.5 rU
R683 c0 b3920 m55932.5 rW
R684 c0 b3594 m59852.5 rL
R685 c2 b5067 m56258.5 rH
R686 c4 b5120 m51191.5 rW
R687 c4 b6150 m61431.5 rS
R688 c3 b5256 m58356.5 rU
R689 c4 b6370 m63612.5 rS
R690 c4 b6050 m60427.5 rU
R691 c6 b7315 m66477.5 rL
R692 c7 b6512 m59162.5 rL
R693 c8 b6324 m52650.5 rH
R694 c9 b5568 m46326.5 rB
R695 c9 b4896 m40758.5 rS
R696 c10 b4608 m38310.5 rH
R697 c10 b4056 m33702.5 rU
R698 c8 b4536 m37758.5 rW
R699 c6 b4653 m42294.5 rU
R700 c4 b5170 m51600.5 rL
R701 c7 b5115 m46430.5 rW
R702 c9 b6192 m51545.5 rW
R703 c8 b6936 m57737.5 rB
R704 c8 b6108 m50801.5 rU
R705 c9 b6840 m56909.5 rU
